アルバム名,発売日,アーティスト,品番,価格
THE IDOLM@STER SHINY COLORS HOPEFUL FE@THERS -Sol-,2026/09/16,Team.Sol,LACA-25303,"3,960円（税込）"
THE IDOLM@STER SHINY COLORS HOPEFUL FE@THERS -Luna-,2026/09/16,Team.Luna,LACA-25302,"3,960円（税込）"
THE IDOLM@STER SHINY COLORS HOPEFUL FE@THERS -Stella-,2026/09/16,Team.Stella,LACA-25301,"3,960円（税込）"
