回	放送内容	初回放送
246	君たちにはまだ早いよ	
出演：アンティーカ	2023/06/06(火) 18:00	
247	このコーナーいつもぽのちゃんに怒られる…	
出演：アルストロメリア	2023/06/13(火) 18:00	
248	動画回 脳内のはるすがアホ過ぎる	
出演：放課後クライマックスガールズ ※永井真里子がお休み(朗読劇のみ出演)	2023/06/20(火) 18:00	
249	ストレイライトモノマネ大会	
出演：ストレイライト	2023/06/27(火) 18:00	
250	小糸のソロ曲、カラオケで歌ってるよ！	
出演：ノクチル ※岡咲美保が欠席(4コマ漫画と朗読劇のみ出演)	2023/07/04(火) 18:00	
251	動画回 マイナスになることはないから、安心して…！	
出演: SHHis	2023/07/11(火) 18:00	
252	「わがまま」って漢字で書けますか？	
出演：イルミネーションスターズ		
ラジオ横断企画!!!!!「パーティーソングマスター」あり	2023/07/18(火) 18:00	
253	越境回・生配信	
出演: 結名美月, 丸岡和佳奈, 山根綺, 川口莉奈	2023/07/27(木) 20:00	
254	気づかいぶつかり稽古	
出演：アンティーカ ※礒部花凜が欠席(4コマ漫画と朗読劇のみ出演)	2023/08/01(火) 18:00	
255	ちゅ…ぱくっ…	
出演：アルストロメリア	2023/08/08(火) 18:00	
256	走りまくった。端だけに	
出演：放課後クライマックスガールズ	2023/08/22(火) 18:00	
257	動画回 イミゴ？イミスト？	
出演：ストレイライト	2023/08/29(火) 18:00	
258	二つ名「自己犠牲の田嶌」	
出演：ノクチル	2023/09/05(火) 18:00	
259	アーティストだった…！	
出演: SHHis	2023/09/12(火) 18:00	
260	1人で観覧車に乗ってみました。楽しかったです	
出演：イルミネーションスターズ	2023/09/19(火) 18:00	
261	動画回 温泉……あ、言っちゃダメだ	
出演：アンティーカ	2023/09/26(火) 18:00	
262	前の川で涼んでる子供。	
出演：アルストロメリア	2023/10/03(火) 18:00	
263	いやー、これは一本取られましたなぁ	
出演：放課後クライマックスガールズ	2023/10/10(火) 18:00	
264	私たちが波動ってこと!?	
出演：ストレイライト	2023/10/17(火) 18:00	
265	越境回・生配信	
出演：希水しお、芝崎典子、幸村恵理、田嶌紗蘭	2023/10/24(火) 18:00	
266	動画回 優ちゃんのことが分からない…こんなに一緒にいるのに…！	
出演：ノクチル	2023/10/31(火) 18:00	
267	うわ～授業しっかり受けてたらどうしよう…！	
出演: SHHis	2023/11/07(火) 18:00	
268	コメティックがシャニラジに襲来！	
出演：コメティック ※川口莉奈はリモート出演	2023/11/14(火) 18:00	
269	動画回 おもしれーこの小説。読みてー	
出演：イルミネーションスターズ ※近藤玲奈がお休み(4コマ漫画と朗読劇のみ出演)	2023/11/21(火) 18:00	
270	私は咲耶にアルストロメリアを踊らせてるよ	
出演：アンティーカ ※礒部花凜と菅沼千紗は朗読劇のみ出演	2023/11/28(火) 18:00	
271	動画回 嘘だ！慌ててたもん！	
出演：アルストロメリア	2023/12/05(火) 18:00	
272	いや、ちょ、本番良すぎたな	
出演：放課後クライマックスガールズ ※涼本あきほは体調不良でお休み(朗読劇もなし)	2023/12/12(火) 18:00	
273	カラス(CV.ストレイライト)	
出演：ストレイライト	2023/12/19(火) 18:00	
274	思ったより爽やかなPが来た	
出演：ノクチル ※岡咲美保がお休み(朗読劇のみ出演)		
※年内最終配信、次回配信は来年1/9	2023/12/26(火) 18:00	
275	メンタリストになっていい???	
出演: SHHis	2024/01/09(火) 18:00	
276	動画回 私がドヤってた！	
出演：コメティック	2024/01/16(火) 18:00	
277	真乃ってすごいのよ！	
出演：イルミネーションスターズ	2024/01/23(火) 18:00	
278	え、絶対に探すの？	
出演：アンティーカ	2024/01/30(火) 18:00	
279	責任は50/50だから！	
出演：アルストロメリア	2024/02/06(火) 18:00	
280	動画回 あ、いい音ですね	
出演：放課後クライマックスガールズ ※白石晴香はお休み(朗読劇のみ出演)	2024/02/13(火) 18:00	
281	このままだと恵理ちゃんの頭を…	
出演：ストレイライト	2024/02/20(火) 18:00	
282	フリーが1番難しい！	
出演：ノクチル ※岡咲美保がお休み(朗読劇のみ出演)	2024/02/27(火) 18:00	
283	越境回・生配信	
出演：関根瞳、礒部花凜、和久井優 ※小澤麗那は体調不良のためお休み #シャニラジ生配信	2024/03/07(木) 21:30	
284	動画回 私は、タンって習いました。	
出演: SHHis	2024/03/12(火) 18:00	
285	2人とも動じないよね	
出演：コメティック	2024/03/19(火) 18:00	
286	どうですか？触れてください4コマに！	
出演：イルミネーションスターズ ※近藤玲奈はお休み	2024/03/26(火) 18:00	
287	どっひゃー	
出演：アンティーカ ※礒部花凜と希水しおはお休み	2024/04/02(火) 18:00	
288	「自分の欲など無さそうに……」「ありそうだよ？」	
出演：アルストロメリア	2024/04/09(火) 18:00	
289	『どうなってるんですかこの店は！』『お客様落ち着いてください』	
出演：放課後クライマックスガールズ ※河野ひよりと丸岡和佳奈はお休み	2024/04/16(火) 18:00	
290	越境回・生配信	
出演：八巻アンナ、涼本あきほ、前川涼子、紫月杏朱彩	2024/04/23(火) 20:00	
ミニ出張版！		
出演：河野ひより、丸岡和佳奈、涼本あきほ	2024/05/03(金) 24:00	
ミニ出張版！		
出演：関根瞳、峯田茉優	2024/05/10(金) 24:00	
ミニ出張版！		
出演：関根瞳、希水しお、永井真里子	2024/05/17(金) 24:00	
ミニ出張版！		
出演：高山祐介、池田ななこ	2024/05/24(金) 24:00	
ミニ出張版！		
出演：河野ひより、黒木ほの香	2024/05/31(金) 24:00	
シャニラジ出張版 生配信！～LIVEFUNグッズ紹介＆10月ライブ新情報も一挙大公開‼ SP～		
出演：田中有紀、土屋李央、紫月杏朱彩、川口莉奈	2024/06/04(火) 21:00	
ミニ出張版！		
出演：峯田茉優、菅沼千紗	2024/06/07(金) 24:00	
ミニ出張版！		
ゲスト：礒部花凜、涼本あきほ	2024/06/14(金) 24:00	
ミニ出張版！		
出演：関根瞳、峯田茉優、夏目響平	2024/06/21(金) 24:00	
ミニ出張版！		
出演：田中有紀、和久井優	2024/06/28(金) 24:00	
291	マンスリーMC：田中有紀、ゲスト：菅沼千紗、田嶌紗蘭 #芹沢あさひのHBTK	
今回から通常更新再開、MCはキャスト月替わり制に移行・配信時間変更	2024/07/09(火) 22:00	
292	マンスリーMC：田中有紀、ゲスト：涼本あきほ、前川涼子 #芹沢あさひのHBTK	2024/07/16(火) 22:00
293	マンスリーMC：田中有紀、ゲスト：幸村恵理、北原沙弥香 #芹沢あさひのHBTK	2024/07/23(火) 22:00
294	生配信	
出演：峯田茉優、芝崎典子、北原沙弥香、小澤麗那	2024/07/31(水) 20:30	
295	マンスリーMC：紫月杏朱彩、ゲスト：関根瞳、希水しお #七草にちかのHBTK	2024/08/06(火) 22:00
296	マンスリーMC：紫月杏朱彩、ゲスト：河野ひより、白石晴香、和久井優 #七草にちかのHBTK	2024/08/13(火) 22:00
297	マンスリーMC：紫月杏朱彩、ゲスト：丸岡和佳奈、土屋李央 #七草にちかのHBTK	2024/08/20(火) 22:00
298	マンスリーMC：紫月杏朱彩、ゲスト：山根綺 #七草にちかのHBTK	2024/08/27(火) 22:00
299	マンスリーMC：田嶌紗蘭、ゲスト：八巻アンナ、三川華月 #福丸小糸のHBTK	2024/09/03(火) 22:00
300	マンスリーMC：田嶌紗蘭、ゲスト：結名美月、黒木ほの香 #福丸小糸のHBTK	2024/09/10(火) 22:00
301	マンスリーMC：田嶌紗蘭、ゲスト：永井真里子、川口莉奈 #福丸小糸のHBTK	2024/09/17(火) 22:00
302	マンスリーMC：田嶌紗蘭、ゲスト：和久井優、土屋李央、岡咲美保 #福丸小糸のHBTK	2024/09/24(火) 22:00
303	マンスリーMC：三川華月、小澤麗那、ゲスト：芝崎典子 #だぶるはのHBTK	2024/10/01(火) 22:00
304	生配信	
出演：黒木ほの香、菅沼千紗、河野ひより、三川華月	2024/10/08(火) 21:00	
305	マンスリーMC：三川華月・小澤麗那、ゲスト：峯田茉優・幸村恵理 #だぶるはのHBTK	2024/10/15(火) 22:00
306	マンスリーMC：三川華月・小澤麗那、ゲスト：和久井優 #だぶるはのHBTK	2024/10/22(火) 22:00
307	マンスリーMC：三川華月・小澤麗那、ゲスト：川口莉奈 #だぶるはのHBTK	2024/10/29(火) 22:00
308	マンスリーMC：峯田茉優、ゲスト：前川涼子・北原沙弥香 #八宮めぐるのHBTK	2024/11/05(火) 22:00
309	マンスリーMC：峯田茉優、ゲスト：希水しお #八宮めぐるのHBTK	2024/11/12(火) 22:00
310	マンスリーMC：峯田茉優、ゲスト：八巻アンナ、岡咲美保 #八宮めぐるのHBTK	2024/11/19(火) 22:00
311	マンスリーMC：峯田茉優、ゲスト：関根瞳、近藤玲奈 #八宮めぐるのHBTK	2024/11/26(火) 22:00
312	マンスリーMC：前川涼子、ゲスト：丸岡和佳奈 #大崎甜花のHBTK	2024/12/03(火) 22:00
313	マンスリーMC：前川涼子、ゲスト：河野ひより・土屋李央 #大崎甜花のHBTK	2024/12/10(火) 22:00
314	マンスリーMC：前川涼子、ゲスト：結名美月・紫月杏朱彩 #大崎甜花のHBTK	2024/12/17(火) 22:00
315	マンスリーMC：前川涼子、ゲスト：黒木ほの香・芝崎典子 #大崎甜花のHBTK	
※年内最終配信、次回は来年1/7より新春生配信SP	2024/12/24(火) 22:00	
316	新春生配信スペシャル2025	
出演：紫月杏朱彩・山根綺・川口莉奈	2025/01/07(火) 22:00	
317	マンスリーMC：礒部花凜、ゲスト：涼本あきほ・永井真里子 #月岡恋鐘のHBTK	
今回から配信時間変更	2025/01/14(火) 23:00	
318	マンスリーMC：礒部花凜、ゲスト：田中有紀 #月岡恋鐘のHBTK	2025/01/21(火) 23:00
319	マンスリーMC：礒部花凜、ゲスト：菅沼千紗・八巻アンナ・結名美月 #月岡恋鐘のHBTK	2025/01/28(火) 23:00
320	マンスリーMC：河野ひより、ゲスト：和久井優 #小宮果穂のHBTK	2025/02/04(火) 23:00
321	マンスリーMC：河野ひより、ゲスト：北原沙弥香・三川華月 #小宮果穂のHBTK	2025/02/11(火) 23:00
322	マンスリーMC：河野ひより、ゲスト：関根瞳・小澤麗那 #小宮果穂のHBTK	2025/02/18(火) 23:00
323	マンスリーMC：河野ひより、ゲスト：永井真里子・涼本あきほ #小宮果穂のHBTK	2025/02/26(水) 23:00
324	シャニアニ2nd LIVEライブ後SP生配信！	
出演：希水しお、幸村恵理、田嶌紗蘭 ※涼本あきほは体調不良のため出演見合わせ	2025/03/06(木) 19:00	
325	マンスリーMC：関根瞳、ゲスト：岡咲美保 #櫻木真乃のHBTK	2025/03/11(火) 23:00
326	マンスリーMC：関根瞳、ゲスト：田嶌紗蘭・川口莉奈 #櫻木真乃のHBTK	2025/03/18(火) 23:00
327	マンスリーMC：関根瞳、ゲスト：前川涼子・芝崎典子 #櫻木真乃のHBTK	2025/03/25(火) 23:00
328	マンスリーMC：関根瞳、ゲスト：峯田茉優 #櫻木真乃のHBTK	
※近藤玲奈は出演取りやめ	2025/04/01(火) 23:00	
329	マンスリーMC：岡咲美保、ゲスト：黒木ほの香 #市川雛菜のHBTK	2025/04/08(火) 23:00
330	マンスリーMC：岡咲美保、ゲスト：八巻アンナ・丸岡和佳奈 #市川雛菜のHBTK	2025/04/15(火) 23:00
331	マンスリーMC：岡咲美保、ゲスト：北原沙弥香・紫月杏朱彩 #市川雛菜のHBTK	2025/04/22(火) 23:00
332	マンスリーMC：岡咲美保、ゲスト：和久井優・土屋李央・田嶌紗蘭 #市川雛菜のHBTK	2025/04/29(火) 23:00
333	マンスリーMC：山根綺、ゲスト：結名美月・小澤麗那 #緋田美琴のHBTK	2025/05/06(火) 23:00
334	マンスリーMC：山根綺、ゲスト：菅沼千紗 #緋田美琴のHBTK	2025/05/13(火) 23:00
335	マンスリーMC：山根綺、ゲスト：田中有紀・永井真里子 #緋田美琴のHBTK	2025/05/20(火) 23:00
336	マンスリーMC：山根綺、ゲスト：紫月杏朱彩 #緋田美琴のHBTK	2025/05/27(火) 23:00
337	マンスリーMC：希水しお、ゲスト：前川涼子・河野ひより	
#三峰結華のHBTK	2025/06/03(火) 23:00	
338	マンスリーMC：希水しお、ゲスト：峯田茉優	
#三峰結華のHBTK	2025/06/10(火) 23:00	
339	マンスリーMC：希水しお、ゲスト：礒部花凜・八巻アンナ・結名美月	
#三峰結華のHBTK	2025/06/17(火) 23:00	
340	生配信	
マンスリーMC：希水しお、ゲスト：山根綺		
#三峰結華のHBTK	2025/06/27(金) 19:00	
341	マンスリーMC：北原沙弥香	
#和泉愛依のHBTK	2025/07/01(火) 23:00	
342	生配信	
マンスリーMC：北原沙弥香、ゲスト：永井真里子		
#和泉愛依のHBTK	2025/07/10(木) 18:00	
343	マンスリーMC：北原沙弥香、ゲスト：和久井優・三川華月	
#和泉愛依のHBTK	2025/07/15(火) 23:00	
344	マンスリーMC：北原沙弥香、ゲスト：田中有紀・幸村恵理	
#和泉愛依のHBTK		
※7/29は休止、次回は8/5	2025/07/22(火) 23:00	
345	マンスリーMC：黒木ほの香 #大崎甘奈のHBTK	2025/08/05(火) 23:00
346	生配信	
マンスリーMC：黒木ほの香、ゲスト：小澤麗那		
#大崎甘奈のHBTK	2025/08/15(金) 19:00	
347	マンスリーMC：黒木ほの香、ゲスト：丸岡和佳奈・結名美月 #大崎甘奈のHBTK	2025/08/19(火) 23:00
348	マンスリーMC：黒木ほの香、ゲスト：前川涼子・芝崎典子 #大崎甘奈のHBTK	2025/08/26(火) 23:00
349	マンスリーMC：和久井優 #浅倉透のHBTK	2025/09/02(火) 23:00
350	マンスリーMC：和久井優、ゲスト：礒部花凜・北原沙弥香 #浅倉透のHBTK	2025/09/09(火) 23:00
351	マンスリーMC：和久井優、ゲスト：菅沼千紗 #浅倉透のHBTK	2025/09/16(火) 23:00
352	マンスリーMC：和久井優、ゲスト：土屋李央・田嶌紗蘭 #浅倉透のHBTK	2025/09/23(火) 23:00
353	生配信	
マンスリーMC：和久井優、ゲスト：関根瞳 #浅倉透のHBTK	2025/10/02(木) 19:00	
354	マンスリーMC：川口莉奈 #斑鳩ルカのHBTK	2025/10/07(火) 23:00
355	マンスリーMC：川口莉奈、ゲスト：前川涼子・幸村恵理 #斑鳩ルカのHBTK	2025/10/14(火) 23:00
356	マンスリーMC：川口莉奈、ゲスト：小澤麗那 #斑鳩ルカのHBTK	2025/10/21(火) 23:00
357	生配信	
出演：峯田茉優、希水しお、涼本あきほ、川口莉奈	2025/10/29(水) 18:00	
358	マンスリーMC：涼本あきほ #有栖川夏葉のHBTK	2025/11/04(火) 23:00
359	マンスリーMC：涼本あきほ、ゲスト：田嶌紗蘭・紫月杏朱彩 #有栖川夏葉のHBTK	2025/11/11(火) 23:00
360	マンスリーMC：涼本あきほ、ゲスト： 関根瞳・岡咲美保 #有栖川夏葉のHBTK	2025/11/18(火) 23:00
361	出演：河野ひより、永井真里子、丸岡和佳奈 #有栖川夏葉のHBTK	
※涼本あきほは体調不良でお休み	2025/11/25(火) 23:00	
362	マンスリーMC：結名美月 #幽谷霧子のHBTK	2025/12/02(火) 23:00
363	マンスリーMC：結名美月、ゲスト：近藤玲奈・三川華月 #幽谷霧子のHBTK	2025/12/09(火) 23:00
364	マンスリーMC：結名美月、ゲスト：和久井優 #幽谷霧子のHBTK	2025/12/16(火) 23:00
365	マンスリーMC：結名美月、ゲスト：菅沼千紗 #幽谷霧子のHBTK	
※次回は1/6	2025/12/23(火) 23:00	
366	マンスリーMC：峯田茉優 #八宮めぐるのHBTK	2026/01/06(火) 23:00
367	マンスリーMC：峯田茉優、ゲスト：関根瞳・近藤玲奈 #八宮めぐるのHBTK	2026/01/13(火) 23:00
368	マンスリーMC：峯田茉優、ゲスト：河野ひより・岡咲美保 #八宮めぐるのHBTK	2026/01/20(火) 23:00
369	生配信	
出演：菅沼千紗、八巻アンナ、真崎エリカ	2026/01/29(木) 20:00	
370	マンスリーMC：土屋李央 #樋口円香のHBTK	2026/02/03(火) 23:00
371	マンスリーMC：土屋李央、ゲスト：和久井優・田嶌紗蘭 #樋口円香のHBTK	2026/02/10(火) 23:00
372	生配信	
出演：関根瞳、八巻アンナ、芝崎典子、田嶌紗蘭	2026/02/19(木) 20:00	
373	マンスリーMC：土屋李央、ゲスト：永井真里子・田中有紀 #樋口円香のHBTK	2026/02/24(火) 23:00
374	マンスリーMC：小澤麗那 #郁田はるきのHBTK	2026/03/03(火) 23:00
375	マンスリーMC：小澤麗那、ゲスト：黒木ほの香・幸村恵理 #郁田はるきのHBTK	2026/03/10(火) 23:00
376	マンスリーMC：小澤麗那、ゲスト：関根瞳 #郁田はるきのHBTK	2026/03/17(火) 23:00
377	マンスリーMC：小澤麗那、ゲスト：川口莉奈・三川華月 #郁田はるきのHBTK	
※次回は4/7	2026/03/24(火) 23:00	
378	マンスリーMC：芝崎典子 #桑山千雪のHBTK	2026/04/07(火) 23:00
379	マンスリーMC：芝崎典子、ゲスト：黒木ほの香・前川涼子 #桑山千雪のHBTK	2026/04/14(火) 23:00
380	マンスリーMC：芝崎典子、ゲスト：涼本あきほ・近藤玲奈 #桑山千雪のHBTK	2026/04/21(火) 23:00
381	生配信	
出演：峯田茉優、菅沼千紗、芝崎典子、和久井優	2026/05/01(金) 19:00	
382	マンスリーMC：希水しお #三峰結華のHBTK	2026/05/05(火) 23:00
383	マンスリーMC：希水しお、ゲスト：紫月杏朱彩 #三峰結華のHBTK	2026/05/12(火) 23:00
384	マンスリーMC：希水しお、ゲスト：礒部花凜・結名美月 #三峰結華のHBTK	2026/05/19(火) 23:00
385	マンスリーMC：希水しお、ゲスト：黒木ほの香・田嶌紗蘭 #三峰結華のHBTK	2026/05/26(火) 23:00
386	マンスリーMC：丸岡和佳奈 #杜野凛世のHBTK	2026/06/02(火) 23:00
387	マンスリーMC：丸岡和佳奈、ゲスト：前川涼子・和久井優 #杜野凛世のHBTK	2026/06/09(火) 23:00
388	マンスリーMC：丸岡和佳奈、ゲスト：岡咲美保 #杜野凛世のHBTK	2026/06/16(火) 23:00
389	マンスリーMC：丸岡和佳奈、ゲスト：近藤玲奈・八巻アンナ #杜野凛世のHBTK	2026/06/23(火) 23:00
390	マンスリーMC：丸岡和佳奈、ゲスト：河野ひより・永井真里子 #杜野凛世のHBTK	2026/06/30(火) 23:00
391	マンスリーMC：紫月杏朱彩 #七草にちかのHBTK	2026/07/07(火) 23:00
392	マンスリーMC：紫月杏朱彩、ゲスト：峯田茉優・結名美月・涼本あきほ #七草にちかのHBTK	2026/07/14(火) 23:00
393	マンスリーMC：紫月杏朱彩、ゲスト：永井真里子・黒木ほの香 #七草にちかのHBTK	2026/07/21(火) 23:00
394		2026/07/28(火) 23:00
