放送内容,分類,出演者,初回放送,告知サイト,まとめ,お知らせまとめ2,お知らせまとめ3,アーカイブ
浜松町グリーンサウンドフェスタ～浜祭～2017 声優＆アイドルFes！in 文化放送 ピュアリーモンスター,外部イベント,"ピュアリーモンスター、PANDA CLUB(PANDAMIC,パンダみっく)、アクタリウム(姫イド隊)、サンドリオン、会沢紗弥、川田澪、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈、桐生朱音、今野優月、柳木みり、石飛恵里花、富沢恵莉、仮屋美希、船戸ゆり絵、sora tob sakana、ハコイリ♡ムスメ、Luce Twinkle Wink☆、八木菜緒、湊元りょう、はちみつクロニクル、板山紗織、詩之本めぐみ(錦織めぐみ)、桧垣果穂、深沢紗希、宇佐美幸乃、岩方虹夏、中嶋莉緒、野邑仁衣菜、橋本彩花、横澤星流、亜華月うさ、个凸めるる、幸乃しあ、色葉しの、乙羽まりあ、寺口夏花、風間玲マライカ、神﨑風花、山崎愛(sora tob sakana)",2017-11-03 13:30,https://www.eventernote.com/events/133984,,,,
TVアニメ「月がきれい」ファン感謝イベント～川越三中文化祭 【昼公演】,外部イベント,千葉翔也、田丸篤志、小原好美、東山奈央、筆村栄心、金子誠、熊谷健太郎、広瀬裕也、石井マーク、岩中睦樹、石見舞菜香、鈴木美園、千菅春香、井上ほの花、白石晴香、前川涼子、伊賀拓郎,2017-11-04 (土) 15:30,https://tsukigakirei.jp/news/#entry-180,,,,
TVアニメ「月がきれい」ファン感謝イベント～川越三中文化祭 【夜公演】,外部イベント,千葉翔也、田丸篤志、小原好美、東山奈央、筆村栄心、金子誠、熊谷健太郎、広瀬裕也、石井マーク、岩中睦樹、石見舞菜香、鈴木美園、千菅春香、井上ほの花、白石晴香、前川涼子、伊賀拓郎,2017-11-04 (土) 18:30,https://tsukigakirei.jp/news/#entry-180,,,,
サンドリ・オン・ステージ～12時過ぎてもサンドリオン～ サンドリオン,外部イベント,サンドリオン、会沢紗弥、川田澪、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈,2017-11-09 19:20,https://www.eventernote.com/events/133110,,,,
A&Gオールスター2017・スペシャルライブ！,外部イベント,青木佑磨、阿部草介、市川太一(学園祭学園)、栗田優、小松秀行(ブラボーカフェ)、青山玲子、岡村明奈、桜子、沢口けいこ、林弓束、まえだゆう、松本ルナ、水野まい、湊あかね、村上瑠美奈、荒井杏子、岩﨑千明、乃並なの、福尾美佳、天城サリー、吉宮るり、白沢かなえ、椛島光、倉丸莉子、千春、西條和、佐倉初、涼花萌、日永麗、武田愛奈、根本凪、奥村野乃花、岡田彩夢、片岡未優(木崎未優)、隈本茉莉奈、清水理子、鶴見萌、中村朱里、蛭田愛梨、的場華鈴、山崎夏菜、大和明桜、峯田茉優、涼本あきほ、草本夏明,2017/11/19(日) 13:30,http://www.agqr.jp/topics/archives/ag2017_5.php,,,,
ジュウ・サンドリ・オン・ステージ サンドリオン,外部イベント,サンドリオン、会沢紗弥、川田澪、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈,2017-11-22 19:20,https://www.eventernote.com/events/135694,,,,
A&Gサタデーライブ！(12月9日 2017年 第9回),外部イベント,湊元りょう、乃並なの、福尾美佳、岩﨑千明、荒井杏子、嘉陽光、吉野瑞穂、芳野美樹、室町鞠奈、草本夏明、涼本あきほ、峯田茉優、松田裕市,2017/12/09(土) 13:00,http://www.joqr.co.jp/live/,,,,
サンドリ・オン・ステ14 サンドリオン,外部イベント,サンドリオン、会沢紗弥、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈,2017-12-10 18:45,https://www.eventernote.com/events/137445,,,,
聖☆ドリオン パーティ2017 サンドリオン,外部イベント,サンドリオン、会沢紗弥、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈,2017-12-22 18:40,https://www.eventernote.com/events/127795,,,,
はりけ～んず前田と沢城千春の「ルミネde何やる？４」 前田登(はりけ〜んず),外部イベント,前田登(はりけ〜んず)、沢城千春、上間江望、サンドリオン、会沢紗弥、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈、古田一紀、くまだまさし,2017-12-26 19:30,https://www.eventernote.com/events/136959,,,,
2018第六屆台北國際動漫節 ICHIBAN JAPAN日本館 3日目 CROWN POP,外部イベント,CROWN POP、東京flavor、ロッカジャポニカ、大坪由佳、佳村はるか、坂上陽三、校條拳太朗、竹中凌平、サンドリオン、吉川友、黒木ほの香、小峯愛未、汐入あすか、小山百代、成海瑠奈、会沢紗弥、里菜、雪月心愛、山本花織、三田美吹、藤田愛理、田中咲帆、西村ひよこちゃん(ウルトラひよこちゃん),2018-02-03 11:10,https://www.eventernote.com/events/144031,,,,
ICHIBAN NIGHT ロッカジャポニカ,外部イベント,ロッカジャポニカ、CROWN POP、サンドリオン、吉川友、さくらちゃん。(柊木りお)、Cupitron、東京flavor、黒木ほの香、小峯愛未、汐入あすか、小山百代、成海瑠奈、会沢紗弥、田中咲帆、藤田愛理、三田美吹、山本花織、雪月心愛、里菜,2018-02-03 17:00,https://www.eventernote.com/events/143996,,,,
2018第六屆台北國際動漫節 ICHIBAN JAPAN日本館 4日目 東京flavor,外部イベント,東京flavor、ロッカジャポニカ、校條拳太朗、竹中凌平、サンドリオン、吉川友、黒木ほの香、小峯愛未、汐入あすか、小山百代、成海瑠奈、会沢紗弥、西村ひよこちゃん(ウルトラひよこちゃん),2018-02-04 11:30,https://www.eventernote.com/events/144035,,,,
アイドルマスター 新シリーズ　制作発表会,,"坂上陽三, 高山祐介, その他",2018/02/07(水) 20:00,https://idolmaster.jp/blog/?p=38458,https://idolmaster.jp/blog/?p=39195,,,https://youtu.be/oeoB-dpKlME
サンドリ・オン・ステージ~チョコ色サタデー~ サンドリオン,外部イベント,サンドリオン、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈、会沢紗弥,2018-02-24 10:10,https://www.eventernote.com/events/145360,,,,
サンドリオン1st Anniversary Live〜BU・TOH・KAI〜 サンドリオン,外部イベント,サンドリオン、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈、会沢紗弥,2018-03-21 14:00,https://www.eventernote.com/events/146981,,,,
アイドルマスター シャイニーカラーズ生配信 ～はじめまして、イルミネーションスターズですSP！～,シャニマス生配信,"関根瞳, 近藤玲奈, 峯田茉優, 坂上陽三, 高山祐介",2018/03/26(月) 20:00,https://idolmaster.jp/blog/?p=40823,https://idolmaster.jp/blog/?p=41122,,,
バドミントンガールズお披露目イベント ～聖ラファエル学院　入学証書授与式～ 柳原かなこ,外部イベント,柳原かなこ、前田佳織里、和多田美咲、小野友樹、コイヌ・ユイ(中島優衣)、黒木ほの香、指出毬亜、山根綺、バドミントンガールズ,2018-04-01 19:45,https://www.eventernote.com/events/152283,,,,
超サンドリ・オン・ステージ~華の17回~ サンドリオン,外部イベント,サンドリオン、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈、会沢紗弥,2018-04-28 11:45,https://www.eventernote.com/events/152916,,,,
SAMURAI GIRLS FESTIVAL 2018 in JAPAN 新田恵海,外部イベント,新田恵海、9nine、sora tob sakana、Mia REGINA、CROWN POP、サンドリオン、東京flavor、SHAZNA、小山百代、黒木ほの香、成海瑠奈、汐入あすか、小峯愛未、会沢紗弥、Luce Twinkle Wink☆、板山紗織、詩之本めぐみ(錦織めぐみ)、桧垣果穂、深沢紗希、宇佐美幸乃、たけやま3.5、武田雛歩、星川遥香、脇田穂乃香、濵邊咲良,2018-04-30 16:00,https://www.eventernote.com/events/154843,,,,
アイドルマスター シャイニーカラーズ生配信 ～回せ、錆びついた運命の鍵を　アンティーカ初登場SP！～,シャニマス生配信,"礒部花凜, 菅沼千紗, 八巻アンナ, 成海瑠奈, 結名美月, 坂上陽三, 高山祐介",2018/05/18(金) 20:00,https://idolmaster.jp/blog/?p=42836,https://idolmaster.jp/blog/?p=43243,,,
サンドリオン1stミニアルバム「わ」予約イベント サンドリオン,外部イベント,サンドリオン、会沢紗弥、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈,2018-05-26 10:00,https://www.eventernote.com/events/157306,,,,
サンドリオンミニアルバムリリースイベント(仮) サンドリオン,外部イベント,サンドリオン、会沢紗弥、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈,2018-06-09 19:05,https://www.eventernote.com/events/157307,,,,
『サンドリオン・ファンツアー　メンバーと一緒に バーベキューの昼食と収穫＆ものづくり体験のミステリーツアー！！』 サンドリオン,外部イベント,サンドリオン、黒木ほの香、会沢紗弥、小峯愛未、成海瑠奈、汐入あすか、小山百代,2018-06-30 10:00,https://www.eventernote.com/events/159524,,,,
カードラボTCGフェスティバル teaRLoveスペシャルトークショー,外部イベント,河野ひより、関根瞳、丸岡和佳奈、高橋菜々美(声優)、広瀬世華、赤尾ひかる、福積沙耶、桜木夕、小野寺瑠奈、桶谷菜穂、teaRLove,2018-06-30 (土) 14:30,https://www.c-labo.jp/tcgfes/stage_teaRLove.html,,,,
