放送内容,分類,出演者,初回放送,告知サイト,まとめ,お知らせまとめ2,お知らせまとめ3,アーカイブ
アイドルマスター シャイニーカラーズ生配信 ～アルストロメリアの冬支度！？「冬」先取りしませんかSP！～,シャニマス生配信,黒木ほの香、前川涼子、芝崎典子、高山祐介,2020/11/25(水) 21:00,https://idolmaster-official.jp/news/01_615.html,https://idolmaster-official.jp/news/01_624.html,,,
聖☆ドリオンパーティ2020〜Party・パーティ・ぱーてぃ〜1部 サンドリオン,外部イベント,サンドリオン、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈,2020-12-20 14:00,https://www.eventernote.com/events/266550,,,,
聖☆ドリオンパーティ2020〜Party・パーティ・ぱーてぃ〜2部 サンドリオン,外部イベント,サンドリオン、黒木ほの香、小峯愛未、小山百代、汐入あすか、成海瑠奈,2020-12-20 18:00,https://www.eventernote.com/events/266551,,,,
アイドルマスター シャイニーカラーズ生配信 　イルミネホーリーナイト！～聖夜を明るく灯そうSP～,シャニマス生配信,関根瞳、近藤玲奈、峯田茉優、高山祐介,2020/12/22(火) 20:00,https://idolmaster-official.jp/news/01_746.html,https://idolmaster-official.jp/news/01_722.html,,,
声優第七世代　爆笑コントグランプリ2020,外部イベント,八巻アンナ、関根瞳、野口詩央、巽悠衣子,2020/12/23(水) 19:30,https://sp.ch.nicovideo.jp/seiyuu7/blomaga/ar1964131,,,,
ゆくM@S くるM@S 2020,ブランド合同生配信,八巻アンナ、岡咲美保、高山祐介,2020/12/29(火) 20:00,https://idolmaster-official.jp/news/01_857.html,https://idolmaster-official.jp/news/01_843.html,,,
アイドルマスター シャイニーカラーズ生配信 Stray Fortune Bright 2021 SP,シャニマス生配信,田中有紀、幸村恵理、北原沙弥香、高山祐介,2021/01/28(木) 20:00,https://idolmaster-official.jp/news/01_993.html,https://idolmaster-official.jp/news/01_933.html,,,
アイドルマスター シャイニーカラーズ生配信 ノクチルのアフターバレンタインSP,シャニマス生配信,和久井優、土屋李央、田嶌紗蘭、岡咲美保、高山祐介,2021/02/16(火) 20:00,https://idolmaster-official.jp/news/01_1147.html,https://idolmaster-official.jp/news/01_1070.html,,,
TVアニメ「おちこぼれフルーツタルト」～ネズミ荘へようこそ in 小金井市～,外部イベント,新田ひより、保科李沙(久保田梨沙)、白石晴香、近藤玲奈、守屋亨香、フルーツタルト,2021-03-07 (日) 13:30,http://ochifuru-anime.com/news.html?id=n071,,,,
スペシャルイベント『TVアニメ「おちこぼれフルーツタルト」ヒガコ感謝祭！,外部イベント,新田ひより、保科李沙(久保田梨沙)、白石晴香、近藤玲奈、守屋亨香、フルーツタルト、川口敬一郎,2021-03-07 (日) 17:30,http://ochifuru-anime.com/news.html?id=n071,,,,
アイドルマスター シャイニーカラーズ特別生配信 3rd Anniversary前夜祭SP！,シャニマス生配信,礒部花凜、菅沼千紗、八巻アンナ、成海瑠奈、結名美月、高山祐介,2021/03/23(火) 20:00,https://idolmaster-official.jp/news/01_1359,https://idolmaster-official.jp/news/01_1308.html,,,
菅沼千紗の魅力に落ちるイベント  壱ノ沼リベンジ 昼公演,外部イベント,菅沼千紗、八巻アンナ,2021-04-10 (土) 14:30,https://ch.nicovideo.jp/numaochi/blomaga/ar1991418,,,,
菅沼千紗の魅力に落ちるイベント  壱ノ沼リベンジ 夜公演,外部イベント,菅沼千紗、八巻アンナ,2021-04-10 (土) 18:30,https://ch.nicovideo.jp/numaochi/blomaga/ar1991418,,,,
サンドリオン2ndシングル「ハッピーアイスクリーム」発売記念イベント【1回目】 サンドリオン,外部イベント,サンドリオン、成海瑠奈、汐入あすか、小山百代、小峯愛未、黒木ほの香,2021-04-11 12:00,https://www.eventernote.com/events/273813,,,,
サンドリオン2ndシングル「ハッピーアイスクリーム」発売記念イベント【2回目】 サンドリオン,外部イベント,サンドリオン、成海瑠奈、汐入あすか、小山百代、小峯愛未、黒木ほの香,2021-04-11 15:00,https://www.eventernote.com/events/273814,,,,
サンドリオン2ndシングル「ハッピーアイスクリーム」発売記念イベント【3回目】 サンドリオン,外部イベント,サンドリオン、成海瑠奈、汐入あすか、小山百代、小峯愛未、黒木ほの香,2021-04-11 17:30,https://www.eventernote.com/events/273815,,,,
VOICETOURIST3番組連動イベント 昼公演,外部イベント,菅沼千紗、礒部花凜、芝崎典子,2021/04/11(日) 14:30,https://ch.nicovideo.jp/numaochi/blomaga/ar1991440,,,,
VOICETOURIST3番組連動イベント 夜公演,外部イベント,菅沼千紗、礒部花凜、芝崎典子,2021-04-11 (日) 18:30,https://ch.nicovideo.jp/numaochi/blomaga/ar1991440,,,,
アイドルマスター シャイニーカラーズ特別生配信　3rd Anniversary SP！,シャニマス生配信,関根瞳、礒部花凜、河野ひより、黒木ほの香、田中有紀、和久井優、高山祐介,2021/04/12(月) 19:00,https://idolmaster-official.jp/news/01_1475,https://idolmaster-official.jp/news/01_1449,,,
ハチサマ5 Hachinai Spring LIVE in 八王子 [昼公演],外部イベント,西田望見、近藤玲奈、南早紀、井上ほの花、立花理香、白石晴香、山下七海、佐伯伊織(NU-KO)、朝日奈丸佳、芝崎典子、楠木ともり、河瀬茉希、青木志貴、相坂優歌、福緒唯,2021/04/25(日) 14:00,https://hachinai.com/hachisama5_2021/,,,,
ハチサマ5 Hachinai Spring LIVE in 八王子 [夜公演],外部イベント,西田望見、近藤玲奈、南早紀、井上ほの花、立花理香、白石晴香、山下七海、佐伯伊織(NU-KO)、朝日奈丸佳、芝崎典子、楠木ともり、河瀬茉希、青木志貴、相坂優歌、福緒唯,2021/04/25(日) 18:00,https://hachinai.com/hachisama5_2021/,,,,
アイドルマスター シャイニーカラーズ生配信　SHHis初登場SP！,シャニマス生配信,紫月杏朱彩、山根綺、高山祐介,2021/05/16(日) 20:00,https://idolmaster-official.jp/news/01_1617,https://idolmaster-official.jp/news/01_1595,,,
teaRLove You ファンミーティング May 22 2021 第一部,外部イベント,teaRLove、赤尾ひかる、桶谷菜穂、小野寺瑠奈、桜木夕、高橋菜々美(声優)、広瀬世華、福積沙耶、丸岡和佳奈,2021-05-22 (土) 13:30,https://twitter.com/teaRLove_TRL/status/1383387251908825099,,,,
teaRLove You ファンミーティング May 22 2021 第二部,外部イベント,teaRLove、赤尾ひかる、桶谷菜穂、小野寺瑠奈、桜木夕、高橋菜々美(声優)、広瀬世華、福積沙耶、丸岡和佳奈,2021-05-22 (土) 17:00,https://twitter.com/teaRLove_TRL/status/1383387251908825099,,,,
Blu-ray「サンドリオン記念日～センキュー！よろしくっ☆～」 リリースイベント♪ミニトーク&特典会 1部 サンドリオン,外部イベント,サンドリオン、成海瑠奈、汐入あすか、小山百代、小峯愛未、黒木ほの香,2021-06-06 14:30,https://www.eventernote.com/events/278438,,,,
Blu-ray「サンドリオン記念日～センキュー！よろしくっ☆～」 リリースイベント♪ミニトーク&特典会 2部 サンドリオン,外部イベント,サンドリオン、成海瑠奈、汐入あすか、小山百代、小峯愛未、黒木ほの香,2021-06-06 17:00,https://www.eventernote.com/events/278439,,,,
「河野ひよりのてれかくし 第1回ぴよフェスティバル」[昼の部] 河野ひより,外部イベント,河野ひより、黒木ほの香、土屋李央,2021-06-19 14:00,https://www.eventernote.com/events/277594,,,,
"【振替】峯田・和泉のぽてまぼ！ ""1.3th"" anniversary ～Pattern Marble!～ 第1部",外部イベント,峯田茉優、和泉風花、河野ひより,2021/06/27(日) 13:30,http://anitama.com/pm/,,,,
"【振替】峯田・和泉のぽてまぼ！ ""1.3th"" anniversary ～Pattern Marble!～ 第2部",外部イベント,峯田茉優、和泉風花、河野ひより,2021/06/27(日) 16:30,http://anitama.com/pm/,,,,
アイドルマスター シャイニーカラーズ生配信　放課後的！七夕流星群SP！,シャニマス生配信,河野ひより、白石晴香、永井真里子、丸岡和佳奈、涼本あきほ、高山祐介,2021/06/28(月) 20:00,https://idolmaster-official.jp/news/01_1844,https://idolmaster-official.jp/news/01_1843,,,
Maisen Music FES 2021 「Don't Bother Us on Summer」 [DAY2 第3部],外部イベント,野村麻衣子、菅沼千紗、田中美海、八巻アンナ,2021-07-11 (日) 19:30,https://ch.nicovideo.jp/oshimai/blomaga/ar2023351,,,,
アイドルマスター シャイニーカラーズ生配信　～サマーキャンペーン直前！アルストロメリアの夏祭りSP！～,シャニマス生配信,黒木ほの香、前川涼子、芝崎典子、高山祐介,2021/07/19(月) 20:00,https://idolmaster-official.jp/news/01_2024,https://idolmaster-official.jp/news/01_1998,,,
teaRLove You ファンミーティング 2021 JULY 第１部,外部イベント,teaRLove、桶谷菜穂、小野寺瑠奈、河野ひより、桜木夕、高橋菜々美(声優)、広瀬世華、福積沙耶、丸岡和佳奈,2021-07-24 (土) 14:30,https://t.livepocket.jp/e/trl0724,,,,
teaRLove You ファンミーティング 2021 JULY 第２部,外部イベント,teaRLove、桶谷菜穂、小野寺瑠奈、河野ひより、桜木夕、高橋菜々美(声優)、広瀬世華、福積沙耶、丸岡和佳奈,2021-07-24 (土) 18:00,https://t.livepocket.jp/e/trl0724,,,,
アイドルマスター 16周年生配信 ～16th Anniversary P@rty!!!!!～,ブランド合同生配信,関根瞳、紫月杏朱彩、その他,2021/07/25(日) 20:00,https://idolmaster-official.jp/news/01_2051,https://idolmaster-official.jp/news/01_2063.html,,,
ONE TO ONE火曜日祭り ＜第2部＞「関根と言えば瞳でしょ！」イベント,外部イベント,関根瞳、峯田茉優、高橋美佳子,2021/08/07(土) 18:00,https://sp.ch.nicovideo.jp/onetone/blomaga/ar2028953,,,,
【振替】Spring☆ふぇすた2021～Happiness 4 you～ サンドリオン,外部イベント,サンドリオン、成海瑠奈、汐入あすか、小山百代、小峯愛未、黒木ほの香,2021-08-08 19:00,https://www.eventernote.com/events/279658,,,,
【振替】サンドリオン春の運動会 サンドリオン,外部イベント,サンドリオン、成海瑠奈、汐入あすか、小山百代、小峯愛未、黒木ほの香、天津飯大郎、上村源、小黒幸希、白井涼平、野田航弥、久山顕、Themnario,2021-08-08 15:30,https://www.eventernote.com/events/279657,,,,
teaRLove You ファンミーティング 2021 AUGUST 第１部,外部イベント,赤尾ひかる、桶谷菜穂、小野寺瑠奈、河野ひより、桜木夕、関根瞳、高橋菜々美(声優)、広瀬世華、福積沙耶、丸岡和佳奈,2021/08/08(日) 14:30,https://www.marine-e.net/sp/tearlove/,,,,
teaRLove You ファンミーティング 2021 AUGUST 第２部,外部イベント,赤尾ひかる、桶谷菜穂、小野寺瑠奈、河野ひより、桜木夕、関根瞳、高橋菜々美(声優)、広瀬世華、福積沙耶、丸岡和佳奈,2021/08/08(日) 18:00,https://www.marine-e.net/sp/tearlove/,,,,
アイドルマスター シャイニーカラーズ生配信　インフォメーションレター,シャニマス生配信,高山祐介,2021/08/25(水) 21:00,https://idolmaster-official.jp/news/01_2225,https://idolmaster-official.jp/news/01_2314,https://idolmaster-official.jp/news/01_2204,,
Animelo Summer Live 2021 -COLORS- 3日目,外部イベント,一柳隊、雨宮天、伊藤美来、内田真礼、楠木ともり、Mashumairesh!!、DOKONJOFINGER、プラズマジカ、鈴木このみ、鈴木みのり、TRUE(唐沢美帆)、仲村宗悟、早見沙織、RAISE A SUILEN、ReoNa、赤尾ひかる、夏吉ゆうこ、井澤美香子、西本りみ、紡木吏佐、岩田陽葵、星守紗凪、遠野ひかる、高橋花林、Raychell、小原莉子、夏芽、倉知玲鳳、和多田美咲、山根綺、伊東健人、稲川英里、森口博子、松尾洋一、山崎淳、村上聖、今井隼、菊嶋亮一、毛利泰士、Atsuki(FIRE HORNS)、ヒロムーチョ(髙橋弥歩)、大田垣“OTG”正信、fhána、佐藤純一(fhána)、yuxuki waga(fhána)、kevin mitsunaga(fhána)、towana(fhána)、大石昌良(オーイシマサヨシ)、スーパーちょろゴンず、桑原由気、長縄まりあ、高田憂希、髙橋ミナミ、嶺内ともみ、酒井ミキオ、ヒーラーガールズ、礒部花凜、熊田茜音、堀内まり菜、吉武千颯、NAOTO(ｳﾞｧｲｵﾘﾆｽﾄ)、重永亮介、設楽博臣、okamu.、関口孝夫、堀崎翔、荒幡亮平,2021/08/29(日) 16:00,https://anisama.tv/2021/index.html,,,,
FAN!FAM!!FUN!!!Limited!!!! 【出演：成海瑠奈&黒木ほの香】 1部 成海瑠奈,外部イベント,成海瑠奈、黒木ほの香,2021-09-11 14:30,https://www.eventernote.com/events/284975,,,,
FAN!FAM!!FUN!!!Limited!!!! 【出演：成海瑠奈&黒木ほの香】 2部 成海瑠奈,外部イベント,成海瑠奈、黒木ほの香,2021-09-11 18:00,https://www.eventernote.com/events/284976,,,,
アイドルマスター シャイニーカラーズ生配信　～3.5周年前夜祭SP！～,シャニマス生配信,田中有紀、幸村恵理、北原沙弥香、高山祐介,2021/09/25(土) 19:30,https://idolmaster-official.jp/news/01_2356,https://idolmaster-official.jp/news/01_2367,,,
『丸岡和佳奈・菅沼千紗の和び紗び じゅーおーむじん～秋祭り～』昼の部,外部イベント,丸岡和佳奈、菅沼千紗、紫月杏朱彩、関根瞳,2021/10/09(土) 14:00,https://sp.ch.nicovideo.jp/voicegarage/blomaga/ar2041692,,,,
『丸岡和佳奈・菅沼千紗の和び紗び じゅーおーむじん～秋祭り～』夜の部,外部イベント,丸岡和佳奈、菅沼千紗、紫月杏朱彩、関根瞳,2021/10/09(土) 17:30,https://sp.ch.nicovideo.jp/voicegarage/blomaga/ar2041692,,,,
アイドルマスター シャイニーカラーズ特別生配信 ～ 3.5周年SP！～,シャニマス生配信,和久井優、土屋李央、田嶌紗蘭、岡咲美保、高山祐介,2021/10/20(水) 20:00,https://idolmaster-official.jp/news/01_2543,https://idolmaster-official.jp/news/01_2543,,,
黒木ほの香のSecret Show Room 第2回ほのフェスティバル ～ほのけ生誕祭～[昼の部] 黒木ほの香,外部イベント,黒木ほの香、北原沙弥香、山根綺,2021-10-30 14:00,https://www.eventernote.com/events/287128,,,,
黒木ほの香のSecret Show Room 第2回ほのフェスティバル ～ほのけ生誕祭～[夜の部] 黒木ほの香,外部イベント,黒木ほの香、芝崎典子、関根瞳,2021-10-30 18:00,https://www.eventernote.com/events/287129,,,,
音楽朗読劇『モンテ・クリスト伯』11月12日,外部イベント,重松千晴、峯田茉優、菅沼久義、中澤まさとも、土田大、笠間淳,2021/11/12(金) 19:00,https://monte.rodokugeki.jp/,,,,
『三澤紗千香・駒形友梨のさちゆりゲーム実況部 ～Press Any Button!～ 3rd STAGE』昼の部 三澤紗千香,外部イベント,三澤紗千香、駒形友梨、河野ひより、黒木ほの香,2021-11-21 14:00,https://www.eventernote.com/events/287491,,,,
『三澤紗千香・駒形友梨のさちゆりゲーム実況部 ～Press Any Button!～ 3rd STAGE』夜の部 三澤紗千香,外部イベント,三澤紗千香、駒形友梨、河野ひより、黒木ほの香,2021-11-21 18:00,https://www.eventernote.com/events/287492,,,,
関根・丸岡はがんばらない ～初イベントではがんばります！～ 1部,外部イベント,関根瞳、丸岡和佳奈、芝崎典子、峯田茉優,2021/11/21(日) 14:00,https://platto.spwn.jp/events/21112114-ganbaranai,,,,
関根・丸岡はがんばらない ～初イベントではがんばります！～ 2部,外部イベント,関根瞳、丸岡和佳奈、芝崎典子、峯田茉優,2021/11/21(日) 18:00,https://platto.spwn.jp/events/21112114-ganbaranai,,,,
アイドルマスター シャイニーカラーズ生配信 ～プロデュース感謝の日SP！～,シャニマス生配信,紫月杏朱彩、山根綺、高山祐介,2021/11/26(金) 20:00,https://idolmaster-official.jp/news/01_2685,https://idolmaster-official.jp/news/01_2686,,,
TVアニメ『ゴールデンカムイ』スペシャルイベント’21〈昼の部〉,外部イベント,小林親弘、白石晴香、伊藤健太郎(声優)、津田健次郎、細谷佳正、てらそままさき、竹本英史、小西克幸,2021-12-05 (日) 14:40,https://kamuy-anime.com/special/event/index03060000.html,,,,
TVアニメ『ゴールデンカムイ』スペシャルイベント’21〈夜の部〉,外部イベント,小林親弘、白石晴香、伊藤健太郎(声優)、津田健次郎、細谷佳正、てらそままさき、竹本英史、小西克幸,2021-12-05 (日) 18:00,https://kamuy-anime.com/special/event/index03060000.html,,,,
関根と言えば「クリパ」でしょ！2021（夜の部）,外部イベント,関根瞳、永井真里子,2021/12/05(日) 18:00,https://sp.ch.nicovideo.jp/onetone/blomaga/ar2057666,,,,
アイドルマスター シャイニーカラーズ生配信　～アンティーカ・ナターレSP！～,シャニマス生配信,礒部花凜、菅沼千紗、八巻アンナ、結名美月、高山祐介,2021/12/07(火) 20:00,https://idolmaster-official.jp/news/01_2861.html,https://idolmaster-official.jp/news/01_2856,,,
#SSRほのけ クリスマススペシャル公開生放送 黒木ほの香,外部イベント,黒木ほの香、田嶌紗蘭、川口莉奈,2021-12-24 19:00,https://www.eventernote.com/events/294475,,,,
ボイスツーリストクリスマスミッション 夜公演,外部イベント,菅沼千紗、芝崎典子、紫月杏朱彩、峯田茉優、丸岡和佳奈,2021/12/25(土) 18:30,https://ch.nicovideo.jp/numaochi/blomaga/ar2051462,,,,
佐倉薫＆八巻アンナとマーダーミステリーinところざわサクラタウン,外部イベント,佐倉薫、八巻アンナ,2021-12-26 (日) 16:30,https://travel.willer.co.jp/entertainment/mm1226/,,,,
ゆくM@S くるM@S 2021,ブランド合同生配信,山根綺、高山祐介,2021/12/28(火) 20:00,https://idolmaster-official.jp/news/01_3149,https://idolmaster-official.jp/news/01_3010,,,
teaRLove You ファンミーティング 2022 January 第１部,外部イベント,赤尾ひかる、桶谷菜穂、小野寺瑠奈、河野ひより、桜木夕、関根瞳、高橋菜々美(声優)、広瀬世華、福積沙耶,2022/01/08(土) 15:00,https://www.marine-e.net/sp/tearlove/,,,,
teaRLove You ファンミーティング 2022 January 第２部,外部イベント,赤尾ひかる、桶谷菜穂、小野寺瑠奈、河野ひより、桜木夕、関根瞳、高橋菜々美(声優)、広瀬世華、福積沙耶,2022/01/08(土) 18:00,https://www.marine-e.net/sp/tearlove/,,,,
「ぽわぽやフェス」ふぁんみーてぃんぐ！１部,外部イベント,関根瞳、結名美月,2022/01/15(土) 15:00,https://ch.nicovideo.jp/powapoya/blomaga/ar2065897,,,,
「ぽわぽやフェス」ふぁんみーてぃんぐ！２部,外部イベント,関根瞳、結名美月,2022/01/15(土) 19:00,https://ch.nicovideo.jp/powapoya/blomaga/ar2065897,,,,
声優のひと息 FEMME Supported by 声優グランプリ/チョクメ！ 第１部 北原沙弥香,外部イベント,北原沙弥香、黒木ほの香、芝崎典子,2022-01-16 14:30,https://www.eventernote.com/events/294883,,,,
声優のひと息 FEMME Supported by 声優グランプリ/チョクメ！ 第２部 北原沙弥香,外部イベント,北原沙弥香、黒木ほの香、芝崎典子,2022-01-16 18:00,https://www.eventernote.com/events/294884,,,,
ボイスガレッジ ニューイヤーパーティー2022 〜side Girls〜 Day2 昼の部,外部イベント,郁原ゆう、藤井ゆきよ、渡部優衣、三澤紗千香、駒形友梨、丸岡和佳奈、菅沼千紗、小岩井ことり,2022-01-16 (日) 14:00,https://ch.nicovideo.jp/voicegarage/blomaga/ar2058310,,,,
ボイスガレッジ ニューイヤーパーティー2022 〜side Girls〜 Day2 夜の部,外部イベント,郁原ゆう、藤井ゆきよ、渡部優衣、三澤紗千香、駒形友梨、丸岡和佳奈、菅沼千紗、小岩井ことり,2022-01-16 (日) 18:00,https://ch.nicovideo.jp/voicegarage/blomaga/ar2058310,,,,
『ボイスガレッジシアター Vol.2「ブラインド」』1月22日 昼の部 丸岡和佳奈,外部イベント,丸岡和佳奈、黒木ほの香、高塚智人、梶原岳人、吉岡茉祐,2022-01-22 14:00,https://www.eventernote.com/events/294190,,,,
『ボイスガレッジシアター Vol.2「ブラインド」』1月22日 夜の部 丸岡和佳奈,外部イベント,丸岡和佳奈、黒木ほの香、高塚智人、梶原岳人、吉岡茉祐,2022-01-22 18:00,https://www.eventernote.com/events/294192,,,,
『ボイスガレッジシアター Vol.2「ブラインド」』1月23日 昼の部,外部イベント,河野ひより、菅沼千紗、今井文也、井上雄貴、吉岡茉祐,2022-01-23 (日) 14:00,https://ch.nicovideo.jp/voicegarage/blomaga/ar2066629,,,,
『ボイスガレッジシアター Vol.2「ブラインド」』1月23日 夜の部,外部イベント,河野ひより、菅沼千紗、今井文也、井上雄貴、吉岡茉祐,2022-01-23 (日) 18:00,https://ch.nicovideo.jp/voicegarage/blomaga/ar2066629,,,,
アイドルマスター シャイニーカラーズ生配信　～2022年も色とりどりに輝こうSP！～,シャニマス生配信,関根瞳、近藤玲奈、峯田茉優、高山祐介,2022/01/27(木) 20:00,https://idolmaster-official.jp/news/01_3202,https://idolmaster-official.jp/news/01_2973,,,
アイドルマスター シャイニーカラーズ生配信　～勝負は放課後？クライマックス・バレンタインSP！～,シャニマス生配信,河野ひより、白石晴香、永井真里子、丸岡和佳奈、涼本あきほ、高山祐介,2022/02/06(日) 20:00,https://idolmaster-official.jp/news/01_3203,https://idolmaster-official.jp/news/01_3204,,,
『ボイスガレッジ スーパーチューズデーParty!』昼の部,外部イベント,会沢紗弥、丸岡和佳奈、菅沼千紗、阿部里果、山崎エリイ(Erii)、南早紀,2022-03-06 (日) 14:00,https://ch.nicovideo.jp/voicegarage/blomaga/ar2071151,,,,
『ボイスガレッジ スーパーチューズデーParty!』夜の部,外部イベント,会沢紗弥、丸岡和佳奈、菅沼千紗、阿部里果、山崎エリイ(Erii)、南早紀,2022-03-06 (日) 18:00,https://ch.nicovideo.jp/voicegarage/blomaga/ar2071151,,,,
アイドルマスター シャイニーカラーズ生配信　～4周年前夜祭SP！～,シャニマス生配信,黒木ほの香、前川涼子、芝崎典子、高山祐介,2022/03/29(火) 20:00,https://idolmaster-official.jp/news/01_3378,https://idolmaster-official.jp/news/01_3377,,,
teaRLove You ファンミーティング 2022 APRIL 第１部,外部イベント,赤尾ひかる、桶谷菜穂、小野寺瑠奈、河野ひより、桜木夕、関根瞳、高橋菜々美(声優)、広瀬世華、福積沙耶、丸岡和佳奈,2022/04/09(土) 15:00,https://www.marine-e.net/sp/tearlove/,,,,
teaRLove You ファンミーティング 2022 APRIL 第２部,外部イベント,赤尾ひかる、桶谷菜穂、小野寺瑠奈、河野ひより、桜木夕、関根瞳、高橋菜々美(声優)、広瀬世華、福積沙耶、丸岡和佳奈,2022/04/09(土) 18:00,https://www.marine-e.net/sp/tearlove/,,,,
チョクメ祭！vol.8（振替公演）第一部,外部イベント,田嶌紗蘭、佐倉薫、八巻アンナ,2022-04-10 (日) 16:30,https://ani.chokume.com/ticket/chokume-vol8,,,,
シャニマス4thLIVE直前！イベント振り返り生配信！,ライブ直前生配信,関根瞳、前川涼子、山根綺,2022/04/15(金) 19:00,https://idolmaster-official.jp/news/01_3816.html,告知無し,,,
アイドルマスター シャイニーカラーズ生配信～4th Anniversary SP！～,シャニマス生配信,関根瞳、礒部花凜、河野ひより、黒木ほの香、田中有紀、和久井優、紫月杏朱彩、高山祐介,2022/04/18(月) 19:00,https://idolmaster-official.jp/news/01_3564,https://idolmaster-official.jp/news/01_3563.html,,,
「Café Takayama」 4thLIVE直前特別版！,高山配信,高山祐介、梅木馨、中川浩二,2022/04/22(金) 23:00,,,,,
涼本あきほ・永井真里子の「しぇあはうしゅ」第1回 るーむめいちゅ ふぇしゅ 昼のしぇ,外部イベント,涼本あきほ、永井真里子,2022-05-21 (土) 14:00,https://www.depth-live.com/sharehoushu/,,,,
涼本あきほ・永井真里子の「しぇあはうしゅ」第1回 るーむめいちゅ ふぇしゅ 夜のしぇ,外部イベント,涼本あきほ、永井真里子,2022-05-21 (土) 18:00,https://www.depth-live.com/sharehoushu/,,,,
黒木ほの香のSecret Show Room 第3回ほのフェスティバル [昼の部] 黒木ほの香,外部イベント,黒木ほの香、河野ひより、前川涼子,2022-05-22 14:00,https://www.eventernote.com/events/304612,,,,
黒木ほの香のSecret Show Room 第3回ほのフェスティバル [夜の部] 黒木ほの香,外部イベント,黒木ほの香、紫月杏朱彩、和久井優,2022-05-22 18:00,https://www.eventernote.com/events/304613,,,,
teaRLove You ファンミーティング 2022 MAY 第１部,外部イベント,赤尾ひかる、小野寺瑠奈、桜木夕、関根瞳、広瀬世華、福積沙耶、丸岡和佳奈、桶谷菜穂,2022/05/29(日) 15:00,https://t.livepocket.jp/e/tearlove0529,,,,
teaRLove You ファンミーティング 2022 MAY 第２部,外部イベント,赤尾ひかる、小野寺瑠奈、桜木夕、関根瞳、広瀬世華、福積沙耶、丸岡和佳奈、桶谷菜穂,2022/05/29(日) 18:00,https://t.livepocket.jp/e/tearlove0529,,,,
アイドルマスター シャイニーカラーズ生配信 ～ノクチルのジューンブライド直前SP！～,シャニマス生配信,和久井優、土屋李央、田嶌紗蘭、岡咲美保、高山祐介,2022/05/30(月) 20:00,https://idolmaster-official.jp/news/01_3974.html,https://idolmaster-official.jp/news/01_3976.html,,,
”いそべかりんのぽかぽかおたんじょう日和 2022“【昼の部】 礒部花凜,外部イベント,礒部花凜、菅沼千紗、黒木ほの香,2022-06-04 14:00,https://www.eventernote.com/events/306273,,,,
VOICE TOURIST 星彩の仮装舞台【昼公演】 菅沼千紗,外部イベント,菅沼千紗、芝崎典子、紫月杏朱彩、峯田茉優、黒木ほの香,2022-06-26 14:00,https://www.eventernote.com/events/301442,,,,
アイドルマスター シャイニーカラーズ生配信 ～夜空を駆け抜けろ！ストレイライトの七夕SP！～,シャニマス生配信,田中有紀、幸村恵理、北原沙弥香、高山祐介,2022/06/27(月) 20:00,https://idolmaster-official.jp/news/01_4145.html,https://idolmaster-official.jp/news/01_4139.html,,,
teaRLove You ファンミーティング 2022 JULY 第１部,外部イベント,小野寺瑠奈、桜木夕、関根瞳、広瀬世華、福積沙耶、丸岡和佳奈、桶谷菜穂、河野ひより,2022/07/17(日) 15:00,https://t.livepocket.jp/e/tearlove0717,,,,
teaRLove You ファンミーティング 2022 JULY 第２部,外部イベント,小野寺瑠奈、桜木夕、関根瞳、広瀬世華、福積沙耶、丸岡和佳奈、桶谷菜穂、河野ひより,2022/07/17(日) 18:00,https://t.livepocket.jp/e/tearlove0717,,,,
【出演者変更】＜音泉＞祭り 2022夏 ～PREMIUM～,外部イベント,会沢紗弥、天﨑滉平、石毛翔弥、礒部花凜、熊谷健太郎、小泉萌香、駒形友梨、篠原侑、佐藤元(声優)、佐藤日向、下野紘、直田姫奈、種田梨沙、土屋李央、天津飯大郎、富田美憂、夏吉ゆうこ、野上翔、野村麻衣子、花井美春、稗田寧々、藤田茜、前田佳織里、松岡禎丞、守屋亨香、鷲崎健、髙橋ミナミ、根本京里、高尾奏音、えきぞちっく❤あにま〜る,2022/07/24(日) 14:00,https://www.onsen.ag/sp/onsenfes/,,,,
アイドルマスター17周年生配信～17th Anniversary P@rty!!!!!～,ブランド合同生配信,峰田茉優、河野ひより、その他,2022/07/26(火) 21:00,https://idolmaster-official.jp/news/01_4325,https://idolmaster-official.jp/news/01_4330.html,,,
アイドルマスター シャイニーカラーズ生配信 ～シーズのサマキャン前夜祭SP！～,シャニマス生配信,紫月杏朱彩、山根綺、高山祐介,2022/07/29(金) 20:00,https://idolmaster-official.jp/news/01_4361.html,https://idolmaster-official.jp/news/01_4359.html,,,
Maisen Music FES 2022「Lit Summer! Say Cheese!」[DAY1] 第1部,外部イベント,野村麻衣子、菅沼千紗、田中美海、山下七海、八巻アンナ,2022-07-30 (土) 11:30,https://ch.nicovideo.jp/oshimai/blomaga/ar2093368,,,,
「河野ひよりのてれかくし」第2回ぴよフェスティバル 昼の部,外部イベント,河野ひより、芝崎典子、白石晴香,2022-07-30 (土) 14:00,https://official.creatia.cc/fanclubs/83/posts/4488,,,,
【出演者変更】「河野ひよりのてれかくし」第2回ぴよフェスティバル 夜の部,外部イベント,河野ひより、涼本あきほ、芝崎典子,2022-07-30 (土) 18:00,https://official.creatia.cc/fanclubs/83/posts/4488,,,,
