アルバム名,公式詳細ページ,画像URL,ジャケット画像ファイル
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -3rdLIVE TOUR PIECE ON PLANET / TOKYO-","https://shinycolors.lantis.jp/releaseinfo/lacz-10061_2/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACZ-10061_2.jpg","LACZ-10061_2.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -3rdLIVE TOUR PIECE ON PLANET / FUKUOKA-","https://shinycolors.lantis.jp/releaseinfo/lacz-10063_4/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACZ-10063_4.jpg","LACZ-10063_4.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -L@YERED WING part 1-","https://shinycolors.lantis.jp/releaseinfo/lacz-10090_1/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACZ-10090_1.jpeg","LACZ-10090_1.jpeg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -L@YERED WING part 2-","https://shinycolors.lantis.jp/releaseinfo/lacz-10092_3/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACZ-10092_3.jpeg","LACZ-10092_3.jpeg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -M@STERS OF IDOL WORLD!!!!! 2023-","https://shinycolors.lantis.jp/releaseinfo/lacz-10137_8/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2023/01/SOLO_COLLECTION_MOIW.jpg","SOLO_COLLECTION_MOIW.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -5thLIVE If I_wings. part1-","https://shinycolors.lantis.jp/releaseinfo/lacz-10141_2/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2023/03/LACZ-10141_2.jpg","LACZ-10141_2.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -5thLIVE If I_wings. Part2-","https://shinycolors.lantis.jp/releaseinfo/lacz-10143_4/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2023/03/LACZ-10143_4.jpg","LACZ-10143_4.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -SOLO PERFORMANCE LIVE 我儘なまま Stella-","https://shinycolors.lantis.jp/releaseinfo/lacz-10165/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2023/07/LACZ-10165.jpg","LACZ-10165.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -SOLO PERFORMANCE LIVE 我儘なまま Luna-","https://shinycolors.lantis.jp/releaseinfo/lacz-10166/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2023/07/LACZ-10166.jpg","LACZ-10166.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -SOLO PERFORMANCE LIVE 我儘なまま Sol-","https://shinycolors.lantis.jp/releaseinfo/lacz-10167/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2023/07/LACZ-10167.jpg","LACZ-10167.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -6thLIVE TOUR Come and Unite! part1-","https://shinycolors.lantis.jp/releaseinfo/lacz-10195/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2024/02/LACZ-10195-1.jpg","LACZ-10195-1.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -6thLIVE TOUR Come and Unite! part2-","https://shinycolors.lantis.jp/releaseinfo/lacz-10197/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2024/02/LACZ-10197.jpg","LACZ-10197.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -6thLIVE TOUR Come and Unite! part3-","https://shinycolors.lantis.jp/releaseinfo/lacz-10199/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2024/02/LACZ-10199.jpg","LACZ-10199.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -Beyond the Blue sky part1-","https://shinycolors.lantis.jp/releaseinfo/lacz-10218/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2024/07/LACZ-10218.jpg","LACZ-10218.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -Beyond the Blue sky part2-","https://shinycolors.lantis.jp/releaseinfo/lacz-10227_8/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2024/07/LACZ-10227.jpg","LACZ-10227.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -6.5th Anniversary LIVE “Chapter 283”-","https://shinycolors.lantis.jp/releaseinfo/lacz-10230_1/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2024/09/LACZ-10230_1.jpg","LACZ-10230_1.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -2nd season LIVE Over the prism part1-","https://shinycolors.lantis.jp/releaseinfo/lacz-10262_3/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2025/02/LACZ-10262_3.jpg","LACZ-10262_3.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -2nd season LIVE Over the prism part2-","https://shinycolors.lantis.jp/releaseinfo/lacz-10264_5/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2025/02/LACZ-10264_5.jpg","LACZ-10264_5.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -2nd season LIVE Over the prism part3-","https://shinycolors.lantis.jp/releaseinfo/lacz-10266_7/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2025/02/LACZ-10266_7.jpg","LACZ-10266_7.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -2nd season LIVE Over the prism part4-","https://shinycolors.lantis.jp/releaseinfo/lacz-10268_9/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2025/02/LACZ-10268_9.jpg","LACZ-10268_9.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -7th UNITLIVE TOUR 円環 -Halo around- part1-","https://shinycolors.lantis.jp/releaseinfo/lacz-10296_7/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2025/06/LACZ-10296_7.jpg","LACZ-10296_7.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -7th UNITLIVE TOUR 円環 -Halo around- part2-","https://shinycolors.lantis.jp/releaseinfo/lacz-10298_9/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2025/06/LACZ-10298_9.jpg","LACZ-10298_9.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -7th UNITLIVE TOUR 円環 -Halo around- part3-","https://shinycolors.lantis.jp/releaseinfo/lacz-10300_1/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2025/06/LACZ-10300_1.jpg","LACZ-10300_1.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -7th LIVE TOUR 螺旋 -Halo around- “The origin on the axes” –","https://shinycolors.lantis.jp/releaseinfo/lacz-10320/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2025/10/BNML_SC7_5th-CDpkg_H1.jpg","BNML_SC7_5th-CDpkg_H1.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -M@STERS OF IDOL WORLD 2025 part1-","https://shinycolors.lantis.jp/releaseinfo/lacz-10322_3/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2025/11/LACZ-10322.jpg","LACZ-10322.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -M@STERS OF IDOL WORLD 2025 part2-","https://shinycolors.lantis.jp/releaseinfo/lacz-10330_1/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2025/11/LACZ-10330.jpg","LACZ-10330.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -シャニマス大感謝祭！ 〜283スポーツフェスティバル〜 part1-","https://shinycolors.lantis.jp/releaseinfo/lacz-10332_3/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2026/01/LACZ-10332.jpg","LACZ-10332.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -シャニマス大感謝祭！ 〜283スポーツフェスティバル〜 part2-","https://shinycolors.lantis.jp/releaseinfo/lacz-10334/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2026/01/LACZ-10334.jpg","LACZ-10334.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -∞th LIVE iと夢 part1-","https://shinycolors.lantis.jp/releaseinfo/lacz-10349_50/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2026/04/LACZ-10349_50.jpg","LACZ-10349_50.jpg"
"THE IDOLM@STER SHINY COLORS SOLO COLLECTION -∞th LIVE iと夢 part2-","https://shinycolors.lantis.jp/releaseinfo/lacz-10351_2/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2026/04/LACZ-10351_2.jpg","LACZ-10351_2.jpg"
"THE IDOLM@STER SHINY COLORS FUTURITY SMILE","https://shinycolors.lantis.jp/releaseinfo/lacm-14906/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14906.jpg","LACM-14906.jpg"
"THE IDOLM@STER SHINY COLORS SWEET♡STEP","https://shinycolors.lantis.jp/releaseinfo/lacm-14965/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-14965.jpg","LACM-14965.jpg"
"THE IDOLM@STER SHINY COLORS デビ太郎 VS ジャスティスV","https://shinycolors.lantis.jp/releaseinfo/lacz-10033/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACZ-10033.jpg","LACZ-10033.jpg"
"THE IDOLM@STERシリーズ15周年記念曲 「なんどでも笑おう」 【シャイニーカラーズ盤】","https://shinycolors.lantis.jp/releaseinfo/lacm-24027/","https://shinycolors.lantis.jp/X9pa5jNY/wp-content/uploads/2021/12/LACM-24027.jpg","LACM-24027.jpg"
